place_name,rating,shop_type,sentence,TargetAspect
Coffee at Yellow Hauz,5,coffee,The cozy atmosphere and friendly staff made the experience even better.,Ambiance and Atmosphere
The Limestone Brew,5,coffee,We order big breakfast and its good and we order clubhouse sandwiches the taste is good but i expected 4 slices but they only serve 2 slices.,Product Quality
Daiko Coffee,5,coffee,"The atmosphere is perfect if you're looking for some quiet and peace, chill chill lang rolling_on_the_floor_laughing  And if you're into drinks, give them a try!",Product Quality
&Matcha - Three Yards,3,matcha,"Place & food good Staff not warm and welcoming, sadly.",Customer Service
Matcha Bar - Marfori,5,matcha,I love the taste of pistachio!,Product Quality
Wood and Coffee Davao,5,coffee,"It's also a great study spot – quiet, with plenty of outlets – but be aware that cell service is non-existent (though they have Wi-Fi, which can be slow when busy).",Facilities and Amenities
One Corner Coffee Lifestyle and Beyond,5,coffee,This coffeeshop was recommended by Chef Jerico from Misa Dining and we have to say it was some good slow coffee.,Product Quality
Coffee Project Mintal,5,coffee,Good food and very cozy.,Product Quality
Barok Cafe & Resto,1,coffee,"The exact same thing happened on every visit we've had here (mostly invites so I had no choice) Waiting that long for something that requires zero preparation is honestly baffling, especially in a place with so many staff members present but seemingly unwilling to help.",Customer Service
Starbucks - SM City Davao,5,coffee,Nice atmosphere.,Ambiance and Atmosphere
Haron's Cafe,5,coffee,"sparkles  Experience delicious halal dishes, a beautiful ambiance, and a cozy atmosphere that makes every celebration extra memorable.",Ambiance and Atmosphere
Into D' Woods,5,coffee,"They will offer you fans to keep off the mosquitoes, and the living room vibe at the second floor is a good place for friends and meetings.",Ambiance and Atmosphere
Kafih - Davao,5,coffee,"This place is so fantastic and nice to vibe with your friends, family and loveones.",Ambiance and Atmosphere
Steep Kohi,4,coffee,Matcha is prepared with happy enthusiasm by the owners.,Product Quality
Whisk Davao Matcha,5,matcha,Great cafe with great drinks and a peaceful vibe.,Ambiance and Atmosphere
Cafe Demitasse,4,coffee,Prices are affordable.,Price and Value
The Beehive Cafe Davao,5,coffee,Worth the price.,Price and Value
Barok Cafe & Resto,1,coffee,"Even if you don't say good morning or excuse me, you're just being polite KY you don't want Saba going to KTV.",Ambiance and Atmosphere
Green Coffee - Obrero,1,matcha,">Matcha Latte that tastes like sugar syrup, ""that's how we like matcha"" tsk bad service",Product Quality
Kofi Gram Bangkal,4,coffee,"Ambiance is a 10/10 for me, although Food is quite expensive, Coffee is good: We ordered DarkMocha and Matcha Frappe 10/10.",Price and Value
Kotetsu by Wood and Coffee,5,coffee,"While a bit on the expensive side, the coffee was delicious.",Product Quality
Floury Cafe,5,matcha,"My order took a time to serve, but food was rly good!",Product Quality
Starbucks,1,coffee,Should consider the character of the staff when hiring as the job is about service.,Customer Service
Fourth Street Cafe,5,coffee,Coffee was good.,Product Quality
Space-Arabica,5,coffee,"Their frappe is really good, and the food is definitely worth coming back for because, apart from being delicious, it is also affordable, and the ambience is very cozy.",Price and Value
Starbucks - Abreeza Mall,1,coffee,The barista bulled the kitchen rag after wipeing the tables right over my coffe while preparing it dripping.,Facilities and Amenities
Coffeecat,4,coffee,They also have a variety of coffee products and accessories that you can buy.,Product Quality
Glasshouse Coffee,5,coffee,"The lady who served me was very very kind and accommodating, assisting me with water and where the comfort room is.",Facilities and Amenities
Solace - Coffee Club,5,coffee,"But on the good side, the vibe is real.",Ambiance and Atmosphere
JAS Caffeinated,5,coffee,"First time to dine in here with my workmates, very accessible just in front of Davao Water District.",Store Operations and Accessibility
Cafe Basilico,5,coffee,"The only downside was that some customers were quite noisy, and the staff didn't do much to quiet them down.",Ambiance and Atmosphere
IDK cafe PH,5,coffee,Highly recommend if you're in the area and looking for a solid cup of coffee that hits the spot every time.,Product Quality
Fiend Coffee Club,5,coffee,perfect spot to chill or catch up with friends  red_heart,Ambiance and Atmosphere
olo. Coffee And Concepts,5,coffee,Olo is such a cozy and welcoming coffee spot!,Product Quality
BRGR Alley Café,5,coffee,Staff are very accommodating and the foods are very worth the price.,Price and Value
REVEL by Confex,5,coffee,"Exceptional customer service, fantastic atmosphere, the best coffee I have had around Davao, very good prices, and fantastic deserts.",Customer Service
Mori & Mill,1,coffee,Their matcha was disappointing to say the least.,Product Quality
Whisk Davao Matcha,5,matcha,Love the ambiance & accommodating staff most esp Ms Russel & Sir Loki.,Ambiance and Atmosphere
BRGR Alley Café,5,coffee,"The atmosphere is always nice, nothing beats eating a burger while inhaling fresh air.",Ambiance and Atmosphere
Matwels Coffee Station,5,coffee,You can visit here and purchase affordable drinks and merienda.,Product Quality
Kopi lah Roti,4,coffee,Price experience score (pes) 5.5/10 Parking available service ok No credit card Food ok,Customer Service
Café Joa,3,coffee,Ambiance is nice (we came during evening time).,Ambiance and Atmosphere
MOMOYO GMALL BAJADA,5,matcha,What an unforgettable experience especially for MATCHA Lovers.,Product Quality
Barok Cafe & Resto,1,coffee,We've waited for our food for about an hour in Bajada branch.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,Price ranges of both food and drinks are reasonable enough for the amount of serving.,Product Quality
Café Prelaya by The Joaquins’ Cheesecakes,5,coffee,"Service awesome, very polite.",Customer Service
The Beehive Cafe Davao,5,coffee,"good food with a nice ambience, definitely a place you have to visit!",Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"The food was served in a timely manner, and the atmosphere was pleasant, making it a nice spot to relax.",Product Quality
Starbucks - SM City Davao,5,coffee,"However it is always crowded I understand that there are lots of people who go to these place to take advantage of their free wifi, so be prepared to wait for a little while before you get a seat open.",Ambiance and Atmosphere
Knto Cinco - Puan Branch,3,coffee,"Parking is limited to around 3–4 cars, and tables can accommodate about 3–4 people each.",Facilities and Amenities
Aloha Kakou Neighborhood Cafe,5,coffee,The waitress was really friendly and helpful it didn't feel like they were rushing you order or suggesting something expensive.,Customer Service
The Matcha Tokyo - SM Davao,5,matcha,Ambiance is good!,Ambiance and Atmosphere
Barok Cafe & Resto,5,coffee,And the fact that Barok Cafe & Resto operates 24 hours is a rare find in Davao City—such a convenient option when looking for good food any time of day.,Product Quality
Krispy Kreme Doughnuts® - SM Lanang,3,coffee,This particular outlet is on the ground floor of the mall and immediately visible when you walk in.,Facilities and Amenities
Whisk Davao Matcha,5,matcha,Plenty of parking din.,Store Operations and Accessibility
Habitat Coffee - Tionko Branch,4,coffee,"So if you want a quiet place to stay and work, this isn't the first place I'd recommend.",Facilities and Amenities
Kofi Gram Bangkal,5,coffee,"Food: it was really good, but their burger had too much mayonnaise to the point i thought it was an egg loudly_crying_face  Service: staffs were nice Atmosphere: i loved it sm.",Product Quality
Fika Cafe - Lapu-Lapu,4,coffee,haven't tried their food or cakes but might order soon.,Product Quality
The Coffee Spot & Lounge,4,coffee,good spot indeed for quick catch ups and affordable food.,Product Quality
Coffee at Yellow Hauz,1,coffee,The food and the atmosphere at your establishment are commendable.,Ambiance and Atmosphere
Koncrete,4,matcha,"i love the matcha, though they only offer one size.",Product Quality
Daleachious Cafe - Ecoland Branch,3,coffee,"food is mid for the price, burger patty looked raw had to re-heat it at home.",Product Quality
Kapeweñoz V. Mapa,5,coffee,Delectable coffees and friendly service.,Customer Service
Whisk It Good Matcha,5,matcha,"If you want legitimate, high-quality matcha, this is the place.",Product Quality
Humble Table,4,coffee,Enjoyed a charming atmosphere at 𝖧𝗎𝗆𝖻𝗅𝖾 𝗍𝖺𝖻𝗅𝖾 𝗐𝗁𝗂𝖼𝗁 𝗂 𝗁𝖺𝗏𝖾 𝗏𝗂𝗌𝗂𝗍𝖾𝖽 𝖿𝗈𝗋 𝖺 𝗊𝗎𝗂𝖼𝗄 𝖼𝗈𝖿𝖿𝖾𝖾 𝗀𝗋𝖺𝖻.The minimalistic design and warm vibes make it a perfect spot for a laid-back hangout.,Ambiance and Atmosphere
Whisk Davao Matcha,5,matcha,Ms. Angel and the rest of the staff were so kind and they'll let you know if you're whisking it correctly  face_with_tears_of_joy  I got the white chocolate matcha …,Customer Service
Hid'n Coffee,5,coffee,Great coffee.,Product Quality
Purge Coffee Roaster,5,coffee,They make coffee the correct way,Product Quality
KINN & Friends,5,matcha,you can really taste the quality of the matcha …,Product Quality
Matcha Ureshi Bar,5,matcha,worth the price!,Price and Value
ROOFTOP Café Bar,4,coffee,The food and the drinks are great too.,Product Quality
Glasshouse Coffee,5,coffee,"Good, satisfying coffee options and by that I mean legitimate coffee and not just sugary drinks  grinning_face_with_sweat",Product Quality
Café de Vivré,4,coffee,You have 4 types of coffee mix to choose from.,Product Quality
Green Coffee - Diversion,1,coffee,"As an avid fan of your coffee, this experience has been extremely disappointing and frustrating.",Product Quality
"The Coffee Bar, Gaisano Mall of Toril",5,coffee,"The staffs' are friendly and approachable, especially Ivan, Jenny and Reymark.",Customer Service
Annipie Airport View,1,coffee,"Our order included silog breakfasts, espresso drinks, 2 sandwiches to go, and 2 pieces of cake to go.",Product Quality
BRGR Alley Café,5,coffee,Food is amazing and service wise all are approachable and friendly,Customer Service
The Crazy Bite Co. Sky Cafe,5,coffee,Service: It was definitely my first time from a restaurant or cafeteria that they greeted us enthusiastically.,Customer Service
ROOFTOP Café Bar,4,coffee,"Chill place to hang out alone or with friends, love the friendly and inviting vibe here.",Customer Service
Repeat Coffee,5,coffee,"My favorite was the Barista's Choice—it was smooth, flavorful, and perfectly balanced.",Customer Service
The Coffee Bar at GMall of Davao,5,coffee,The coffee shop is very cozy and the drinks and food is very good,Product Quality
Vanitea Cafe,4,coffee,"The food is delicious, but the staff is a bit noisy sometimes.",Ambiance and Atmosphere
Cafe Gervacios - Pastry and Coffee in Davao City,4,coffee,Yummy but not worth the price point.,Price and Value
STASH Coffee Co.,5,coffee,Just got caffinated from Stash...love the food and coffee,Product Quality
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"I appreciate the ambiance, which strikes a perfect balance ,neither too subtle nor too overpowering.",Ambiance and Atmosphere
The Crazy Bite Co. Sky Cafe,3,coffee,"Mid food, good atmosphere, good staff",Product Quality
Mangyu Luzy Coffee House & Delicacies,5,coffee,I recently had the pleasure of visiting and was blown away by the incredible halo-halo and exceptional service.,Customer Service
Tomo Kopi - Emilio Jacinto Street,5,coffee,Not to exaggerate but their Iced Spanish Latte is extremely good!,Product Quality
